location,bedrooms,bathrooms,area,price
Bahria Town,4,6,17 Marla,39612030
DHA Phase 2,2,3,5 Marla,16830778
Bahria Town,5,6,7 Marla,21906520
G-13,4,6,20 Marla,53267334
G-13,8,10,25 Marla,79744455
G-13,3,5,14 Marla,38680342
F-10,5,7,26 Marla,112860867
Bahria Town,6,6,31 Marla,83219864
F-10,5,6,18 Marla,80554387
G-13,6,7,16 Marla,52501159
F-10,6,8,36 Marla,161221951
F-10,3,3,14 Marla,65017347
DHA Phase 2,6,7,34 Marla,115263144
F-10,3,3,11 Marla,49273132
Bahria Town,5,7,40 Marla,97432012
Bahria Town,2,2,6 Marla,17191956
Bahria Town,7,7,29 Marla,75619981
Bahria Town,9,9,34 Marla,95058607
F-10,9,9,20 Marla,101118385
F-10,4,4,12 Marla,64424692
DHA Phase 2,4,4,7 Marla,26242787
F-10,4,6,23 Marla,113879063
F-10,4,5,10 Marla,55839931
G-13,6,6,9 Marla,32300858
F-10,8,10,20 Marla,94217971
G-13,6,8,39 Marla,114484784
G-13,5,7,12 Marla,38089594
F-10,5,6,21 Marla,93109962
Bahria Town,7,9,32 Marla,78894151
DHA Phase 2,5,6,12 Marla,40949191
G-13,8,9,23 Marla,76238883
F-10,4,4,13 Marla,60315145
G-13,4,4,15 Marla,43006289
Bahria Town,8,9,22 Marla,65919417
G-13,4,4,5 Marla,18074759
G-13,7,8,19 Marla,61737685
Bahria Town,4,6,39 Marla,83508232
DHA Phase 2,7,9,38 Marla,123550352
DHA Phase 2,9,11,21 Marla,82870112
F-10,6,6,18 Marla,89232608
G-13,4,4,20 Marla,54509657
Bahria Town,5,7,14 Marla,39618564
G-13,6,8,24 Marla,63023386
DHA Phase 2,5,5,33 Marla,96871857
G-13,3,5,5 Marla,18667746
Bahria Town,6,6,11 Marla,34627367
Bahria Town,8,9,40 Marla,101852228
DHA Phase 2,7,7,34 Marla,121318047
DHA Phase 2,6,8,23 Marla,78061432
G-13,3,5,7 Marla,22009927
G-13,6,7,13 Marla,42723345
Bahria Town,5,7,39 Marla,90283895
F-10,6,8,11 Marla,54903453
DHA Phase 2,4,5,26 Marla,81484359
DHA Phase 2,7,9,24 Marla,85225155
G-13,4,5,12 Marla,34080723
Bahria Town,5,5,35 Marla,77796818
Bahria Town,8,9,38 Marla,103323326
F-10,7,9,38 Marla,173742341
Bahria Town,4,6,14 Marla,38085968
G-13,6,8,9 Marla,29533319
F-10,8,9,37 Marla,162289170
DHA Phase 2,6,6,15 Marla,57110553
F-10,5,6,30 Marla,137890402
F-10,5,5,12 Marla,65598026
DHA Phase 2,8,10,17 Marla,57321357
F-10,3,4,8 Marla,36578681
F-10,8,10,35 Marla,171870832
G-13,7,7,27 Marla,76399102
F-10,7,7,22 Marla,109270142
Bahria Town,7,9,40 Marla,93092097
Bahria Town,8,8,24 Marla,62710586
G-13,6,6,35 Marla,92425530
G-13,7,7,19 Marla,53845008
Bahria Town,9,9,15 Marla,45788497
Bahria Town,8,9,17 Marla,49865701
F-10,6,8,34 Marla,147104168
DHA Phase 2,3,3,13 Marla,41732532
F-10,6,8,22 Marla,102216046
Bahria Town,8,9,38 Marla,100422527
DHA Phase 2,3,3,14 Marla,46535451
F-10,6,7,38 Marla,173083141
DHA Phase 2,3,3,10 Marla,35544777
DHA Phase 2,6,8,35 Marla,111928645
F-10,8,8,33 Marla,153275136
F-10,5,6,33 Marla,148937562
G-13,5,6,37 Marla,98857880
G-13,9,9,27 Marla,75767614
G-13,7,8,29 Marla,87875386
F-10,6,8,11 Marla,58498811
DHA Phase 2,5,6,12 Marla,47165033
DHA Phase 2,4,6,20 Marla,64522864
F-10,2,3,5 Marla,25543794
G-13,4,5,8 Marla,24626705
DHA Phase 2,6,6,20 Marla,69484742
G-13,8,8,37 Marla,110977150
G-13,3,3,11 Marla,33821486
G-13,6,8,31 Marla,94201435
F-10,8,10,30 Marla,157845281
G-13,4,5,9 Marla,29747667
F-10,9,11,28 Marla,137628019
G-13,6,7,27 Marla,73469411
Bahria Town,7,7,15 Marla,44776036
DHA Phase 2,8,9,39 Marla,118411210
F-10,9,9,31 Marla,160689952
DHA Phase 2,5,7,22 Marla,67986443
G-13,8,9,24 Marla,67335646
DHA Phase 2,7,7,24 Marla,74537542
DHA Phase 2,6,7,34 Marla,112057208
F-10,7,8,15 Marla,74855356
F-10,8,10,20 Marla,108078610
Bahria Town,9,11,26 Marla,76253471
F-10,8,9,22 Marla,119844837
G-13,6,7,22 Marla,67822186
DHA Phase 2,7,9,39 Marla,119803771
F-10,7,8,39 Marla,196337882
Bahria Town,3,3,10 Marla,26383808
Bahria Town,5,5,24 Marla,56908534
DHA Phase 2,5,6,27 Marla,87523315
DHA Phase 2,4,4,27 Marla,82153783
Bahria Town,5,6,25 Marla,63851071
Bahria Town,2,2,6 Marla,14811144
Bahria Town,4,6,26 Marla,69289309
G-13,4,5,20 Marla,60381898
Bahria Town,3,5,5 Marla,14146378
Bahria Town,3,4,12 Marla,32819643
DHA Phase 2,4,5,23 Marla,74120097
F-10,9,10,26 Marla,141815825
G-13,8,10,24 Marla,65527006
DHA Phase 2,3,4,12 Marla,37252961
G-13,4,4,38 Marla,101967668
F-10,4,4,29 Marla,129800391
G-13,5,6,21 Marla,56192789
Bahria Town,8,9,32 Marla,88581800
Bahria Town,6,8,25 Marla,61698803
DHA Phase 2,4,5,11 Marla,38867789
DHA Phase 2,6,8,34 Marla,113680383
G-13,5,6,38 Marla,105291385
F-10,5,7,38 Marla,179679534
Bahria Town,3,3,9 Marla,24017490
DHA Phase 2,9,11,23 Marla,88020794
Bahria Town,8,9,35 Marla,81668508
F-10,6,6,16 Marla,83184560
F-10,6,8,12 Marla,62142318
G-13,3,5,13 Marla,37575079
Bahria Town,6,7,22 Marla,56897523
DHA Phase 2,8,9,24 Marla,90561119
F-10,5,6,29 Marla,128362299
F-10,6,8,11 Marla,60084390
F-10,5,5,35 Marla,164758031
Bahria Town,5,7,9 Marla,27388159
G-13,4,4,21 Marla,64180581
Bahria Town,4,5,33 Marla,84274224
G-13,3,5,11 Marla,28921524
F-10,3,5,14 Marla,65941515
G-13,7,9,32 Marla,84629655
Bahria Town,5,6,16 Marla,45391488
G-13,6,7,14 Marla,40124669
Bahria Town,6,7,16 Marla,43080468
Bahria Town,7,9,38 Marla,90424838
DHA Phase 2,8,8,31 Marla,102252515
G-13,6,7,12 Marla,39677805
DHA Phase 2,8,10,16 Marla,56535416
F-10,7,7,20 Marla,100783958
G-13,3,5,8 Marla,25120296
DHA Phase 2,4,6,14 Marla,47582537
DHA Phase 2,8,10,31 Marla,100187279
DHA Phase 2,3,5,6 Marla,21146937
DHA Phase 2,4,5,23 Marla,75734617
DHA Phase 2,5,7,20 Marla,66991767
Bahria Town,3,5,12 Marla,30680606
G-13,8,10,29 Marla,87778680
F-10,4,6,38 Marla,162462795
G-13,8,9,32 Marla,94831487
Bahria Town,4,6,19 Marla,52185854
DHA Phase 2,9,10,15 Marla,55535222
Bahria Town,8,8,37 Marla,100636279
F-10,6,7,28 Marla,141650400
F-10,8,8,17 Marla,86876627
DHA Phase 2,7,9,24 Marla,80286812
G-13,9,9,29 Marla,83601997
F-10,5,6,21 Marla,104225645
F-10,5,6,11 Marla,58334627
G-13,3,4,13 Marla,36347069
F-10,7,8,16 Marla,89772278
F-10,6,8,27 Marla,121821826
DHA Phase 2,4,5,15 Marla,53820032
F-10,6,7,10 Marla,58759246
F-10,4,6,9 Marla,50460373
F-10,4,5,5 Marla,27074614
F-10,9,9,16 Marla,86498240
Bahria Town,6,6,40 Marla,99743386
DHA Phase 2,5,6,37 Marla,127826263
Bahria Town,9,9,38 Marla,92849565
G-13,4,5,12 Marla,37070438
DHA Phase 2,6,8,8 Marla,31450062
F-10,6,7,21 Marla,107758198
F-10,8,8,25 Marla,129728659
F-10,3,5,5 Marla,28549280
F-10,7,8,24 Marla,124455444
F-10,8,8,38 Marla,172977738
Bahria Town,3,3,8 Marla,19998601
G-13,8,9,34 Marla,89899050
F-10,7,7,32 Marla,147349033
Bahria Town,6,6,12 Marla,32100447
Bahria Town,8,10,27 Marla,73281817
Bahria Town,5,6,13 Marla,32894969
DHA Phase 2,4,4,29 Marla,88269501
DHA Phase 2,8,9,24 Marla,80957279
Bahria Town,4,5,33 Marla,79158674
Bahria Town,4,6,31 Marla,72602614
G-13,5,6,29 Marla,84174198
Bahria Town,7,8,31 Marla,79834530
G-13,9,11,20 Marla,69229683
Bahria Town,6,6,32 Marla,82821062
Bahria Town,6,8,14 Marla,43399409
F-10,9,9,39 Marla,206372492
DHA Phase 2,7,8,36 Marla,125179114
G-13,6,6,14 Marla,41668074
F-10,8,9,36 Marla,170642032
F-10,4,6,9 Marla,43220414
Bahria Town,8,9,34 Marla,85331563
G-13,6,7,21 Marla,60341376
G-13,4,4,39 Marla,112949503
DHA Phase 2,7,8,23 Marla,76196211
Bahria Town,5,5,38 Marla,97667067
F-10,4,5,24 Marla,116791139
Bahria Town,9,9,17 Marla,48919823
Bahria Town,6,8,10 Marla,31405793
DHA Phase 2,6,6,21 Marla,78915248
Bahria Town,2,4,6 Marla,17772781
DHA Phase 2,9,11,35 Marla,106945652
DHA Phase 2,4,5,34 Marla,107738388
DHA Phase 2,5,6,27 Marla,90174968
G-13,4,6,13 Marla,40497755
F-10,9,9,28 Marla,127021710
Bahria Town,6,8,9 Marla,26115174
G-13,6,8,26 Marla,70066912
Bahria Town,6,7,10 Marla,29247431
F-10,4,5,32 Marla,160569840
F-10,4,6,14 Marla,75197937
Bahria Town,9,11,28 Marla,70626223
G-13,4,6,32 Marla,81759996
DHA Phase 2,5,5,37 Marla,106709898
Bahria Town,9,10,37 Marla,89147839
F-10,3,3,6 Marla,29565366
Bahria Town,8,10,24 Marla,60824950
G-13,9,10,22 Marla,64708223
Bahria Town,5,5,34 Marla,89198956
Bahria Town,5,6,39 Marla,87192360
DHA Phase 2,6,8,21 Marla,74686522
G-13,9,11,34 Marla,106263989
DHA Phase 2,4,4,35 Marla,111491632
F-10,6,8,26 Marla,130675730
Bahria Town,9,10,36 Marla,84457989
DHA Phase 2,5,7,16 Marla,58081052
G-13,4,6,25 Marla,72471976
G-13,6,6,7 Marla,24202197
G-13,8,9,30 Marla,85203857
Bahria Town,6,7,14 Marla,38651144
Bahria Town,7,8,30 Marla,74557340
Bahria Town,5,5,12 Marla,37026121
G-13,8,8,31 Marla,94523855
Bahria Town,8,10,31 Marla,74327251
DHA Phase 2,8,8,17 Marla,64047357
G-13,6,8,7 Marla,24090853
DHA Phase 2,8,8,32 Marla,111124066
Bahria Town,6,7,40 Marla,87521228
Bahria Town,7,9,34 Marla,77137800
DHA Phase 2,6,8,36 Marla,117789575
G-13,8,9,32 Marla,85163893
G-13,4,4,14 Marla,42377962
DHA Phase 2,9,10,26 Marla,89914821
G-13,6,8,22 Marla,67777082
Bahria Town,4,4,23 Marla,52506535
Bahria Town,9,11,26 Marla,73298500
F-10,9,9,31 Marla,138407464
F-10,7,8,40 Marla,204674033
Bahria Town,6,6,31 Marla,79570869
Bahria Town,6,7,39 Marla,95352333
DHA Phase 2,3,5,13 Marla,44971105
F-10,2,4,5 Marla,26639683
Bahria Town,7,8,35 Marla,93794323
Bahria Town,5,6,32 Marla,75310329
F-10,6,7,31 Marla,147168708
F-10,6,8,23 Marla,106393029
F-10,6,8,7 Marla,42390519
Bahria Town,9,9,39 Marla,97498993
G-13,7,9,18 Marla,56830383
Bahria Town,9,9,21 Marla,59291749
F-10,6,7,35 Marla,177362460
F-10,9,11,16 Marla,80477747
F-10,4,6,13 Marla,61877792
Bahria Town,5,5,22 Marla,53791610
DHA Phase 2,9,11,36 Marla,115836554
DHA Phase 2,6,6,18 Marla,64153006
G-13,8,8,36 Marla,100292445
F-10,5,6,20 Marla,104456604
F-10,4,5,34 Marla,146879435
DHA Phase 2,7,8,36 Marla,117439336
G-13,5,7,33 Marla,93615713
G-13,5,6,13 Marla,41175177
Bahria Town,6,6,18 Marla,50420514
F-10,7,9,28 Marla,149246990
G-13,6,7,12 Marla,37949546
G-13,7,9,36 Marla,108912486
Bahria Town,3,3,5 Marla,16232717
Bahria Town,3,5,13 Marla,35767833
Bahria Town,4,5,37 Marla,90196053
F-10,8,8,37 Marla,191836735
F-10,6,8,28 Marla,125695758
DHA Phase 2,6,7,13 Marla,48192408
F-10,6,6,22 Marla,110589986
G-13,4,6,26 Marla,66484160
G-13,5,6,13 Marla,36447470
DHA Phase 2,9,10,21 Marla,80934807
Bahria Town,3,5,7 Marla,19305941
G-13,3,3,5 Marla,18328597
G-13,8,10,27 Marla,73413703
F-10,6,7,20 Marla,102532539
Bahria Town,9,10,20 Marla,54035413
F-10,4,5,15 Marla,75010097
G-13,5,6,33 Marla,96727888
Bahria Town,7,7,36 Marla,84768469
DHA Phase 2,9,10,21 Marla,71638704
Bahria Town,7,9,19 Marla,54415831
G-13,5,5,22 Marla,66730380
DHA Phase 2,6,6,14 Marla,50293686
DHA Phase 2,8,10,39 Marla,133372173
Bahria Town,7,7,27 Marla,68990981
DHA Phase 2,7,8,37 Marla,121085838
G-13,8,9,21 Marla,58797908
G-13,7,9,23 Marla,73436575
G-13,4,5,13 Marla,39339682
Bahria Town,3,4,12 Marla,29794981
DHA Phase 2,6,6,29 Marla,94226249
G-13,8,8,28 Marla,82477572
Bahria Town,9,9,35 Marla,89124273
G-13,4,6,7 Marla,24090550
Bahria Town,6,8,23 Marla,58039138
DHA Phase 2,6,8,11 Marla,43227486
Bahria Town,8,8,23 Marla,57488240
F-10,9,10,29 Marla,158348799
Bahria Town,8,9,20 Marla,58091834
DHA Phase 2,6,7,14 Marla,46632268
DHA Phase 2,6,6,25 Marla,84747120
G-13,6,8,35 Marla,103434056
DHA Phase 2,4,6,35 Marla,119046643
DHA Phase 2,7,7,16 Marla,54521113
DHA Phase 2,9,10,38 Marla,140151646
Bahria Town,6,8,39 Marla,86454098
Bahria Town,6,8,32 Marla,76894572
G-13,9,9,39 Marla,108336562
DHA Phase 2,4,6,11 Marla,36896997
DHA Phase 2,3,5,8 Marla,30261682
Bahria Town,5,5,19 Marla,47653258
Bahria Town,4,5,17 Marla,45712150
DHA Phase 2,5,5,13 Marla,51061159
DHA Phase 2,6,6,12 Marla,45584708
G-13,2,2,6 Marla,17954001
G-13,7,7,34 Marla,99633893
G-13,7,9,26 Marla,70746814
DHA Phase 2,8,10,23 Marla,78317894
Bahria Town,8,10,34 Marla,92910413
DHA Phase 2,8,8,29 Marla,90423625
Bahria Town,4,4,12 Marla,34786636
F-10,9,10,38 Marla,185183900
DHA Phase 2,4,5,22 Marla,74953264
DHA Phase 2,4,4,24 Marla,79458214
F-10,9,11,37 Marla,185014384
F-10,9,11,35 Marla,179419980
G-13,6,6,9 Marla,32309188
G-13,8,9,28 Marla,85858256
Bahria Town,9,11,25 Marla,73733026
Bahria Town,9,10,24 Marla,69913963
G-13,6,7,20 Marla,58042212
G-13,7,8,40 Marla,111807898
F-10,6,8,38 Marla,168684482
G-13,2,4,6 Marla,19439690
DHA Phase 2,6,7,32 Marla,115117062
F-10,3,3,14 Marla,66215458
G-13,5,6,14 Marla,46011989
F-10,9,9,27 Marla,139651489
G-13,9,10,20 Marla,69194093
Bahria Town,3,5,8 Marla,23780131
DHA Phase 2,8,9,15 Marla,59091733
DHA Phase 2,5,6,31 Marla,95873173
F-10,4,6,13 Marla,61286790
Bahria Town,7,8,28 Marla,69811679
Bahria Town,6,6,30 Marla,68223029
DHA Phase 2,4,6,33 Marla,101443790
F-10,4,5,25 Marla,113692750
Bahria Town,8,10,21 Marla,55638148
Bahria Town,7,8,34 Marla,84585416
G-13,9,9,18 Marla,62260094
Bahria Town,6,7,13 Marla,35326380
F-10,6,6,26 Marla,130417023
Bahria Town,4,6,12 Marla,31529833
G-13,6,6,21 Marla,66153918
DHA Phase 2,5,6,13 Marla,42465123
G-13,9,9,28 Marla,86860729
DHA Phase 2,6,6,10 Marla,42214932
Bahria Town,8,9,24 Marla,67716716
F-10,6,6,10 Marla,54601215
Bahria Town,9,9,29 Marla,69857285
Bahria Town,5,7,36 Marla,86190038
Bahria Town,7,7,34 Marla,85679495
Bahria Town,4,5,23 Marla,59809971
F-10,7,7,17 Marla,83777134
Bahria Town,7,9,28 Marla,67179848
DHA Phase 2,5,5,26 Marla,77393804
G-13,3,3,6 Marla,20625993
DHA Phase 2,6,6,8 Marla,33116487
F-10,4,4,25 Marla,112524432
F-10,7,9,27 Marla,136627117
DHA Phase 2,4,5,11 Marla,42696208
Bahria Town,7,7,21 Marla,58709976
F-10,9,11,35 Marla,183648691
G-13,7,9,29 Marla,86089696
Bahria Town,5,6,30 Marla,68810975
G-13,4,5,22 Marla,65695938
Bahria Town,9,11,30 Marla,85397152
DHA Phase 2,8,10,19 Marla,68635069
DHA Phase 2,9,10,34 Marla,105296914
Bahria Town,4,4,30 Marla,70007760
F-10,3,5,10 Marla,53890666
Bahria Town,6,8,24 Marla,60411481
DHA Phase 2,8,8,15 Marla,58552082
DHA Phase 2,6,6,14 Marla,55025171
DHA Phase 2,7,9,20 Marla,68071210
G-13,7,8,34 Marla,96257949
Bahria Town,4,4,28 Marla,66457458
G-13,8,9,40 Marla,121757703
G-13,3,3,7 Marla,20754553
F-10,5,5,13 Marla,61750214
G-13,4,5,14 Marla,42966189
G-13,9,11,15 Marla,51466644
DHA Phase 2,3,3,5 Marla,18607410
G-13,5,7,39 Marla,104496728
G-13,9,10,33 Marla,102882326
DHA Phase 2,6,7,8 Marla,33289611
G-13,6,8,31 Marla,86271004
Bahria Town,8,9,15 Marla,42013292
G-13,4,5,16 Marla,45954137
G-13,8,8,36 Marla,96791227
F-10,8,8,18 Marla,96197112
G-13,4,5,26 Marla,69988452
DHA Phase 2,5,6,16 Marla,56165718
F-10,6,6,30 Marla,153946393
F-10,6,8,10 Marla,58272764
G-13,4,5,33 Marla,87651370
F-10,4,6,12 Marla,65069766
DHA Phase 2,4,6,14 Marla,51396797
Bahria Town,8,8,33 Marla,80846948
F-10,9,10,24 Marla,130863386
F-10,4,5,13 Marla,69451594
F-10,8,8,26 Marla,121974695
F-10,9,9,25 Marla,117850212
Bahria Town,4,5,18 Marla,43478323
G-13,8,8,37 Marla,103056459
F-10,9,9,40 Marla,188023111
F-10,4,6,21 Marla,107249721
G-13,8,9,28 Marla,76312475
DHA Phase 2,4,5,12 Marla,40194506
DHA Phase 2,9,9,27 Marla,93461296
Bahria Town,4,4,7 Marla,23440772
G-13,7,8,39 Marla,112287951
Bahria Town,6,6,31 Marla,73942234
G-13,6,8,10 Marla,33683341
F-10,6,7,12 Marla,57537543
G-13,9,10,15 Marla,55188223
DHA Phase 2,9,10,17 Marla,64715251
G-13,8,8,38 Marla,107299205
DHA Phase 2,4,6,14 Marla,46450267
DHA Phase 2,5,5,9 Marla,34845137
G-13,5,5,13 Marla,43671082
G-13,5,6,21 Marla,65080022
G-13,4,4,22 Marla,57218600
DHA Phase 2,4,4,7 Marla,28074808
F-10,8,9,35 Marla,170361953
Bahria Town,8,10,31 Marla,87236808
F-10,7,7,27 Marla,129216410
F-10,5,7,30 Marla,142978456
Bahria Town,6,8,12 Marla,33261028
DHA Phase 2,8,10,39 Marla,127252355
F-10,8,9,39 Marla,189009728
F-10,9,9,35 Marla,166606066
F-10,6,8,18 Marla,85403451
F-10,3,4,11 Marla,55052528
F-10,8,9,22 Marla,110808404
F-10,9,11,40 Marla,201690003
DHA Phase 2,6,7,21 Marla,67439171
F-10,2,3,6 Marla,31124113
DHA Phase 2,5,6,14 Marla,48100803
Bahria Town,9,10,40 Marla,92625544
Bahria Town,7,9,28 Marla,76701022
Bahria Town,4,5,10 Marla,27582861
F-10,5,7,26 Marla,121532250
G-13,8,10,36 Marla,105073014
F-10,6,8,14 Marla,77401703
Bahria Town,8,8,23 Marla,63043433
DHA Phase 2,5,5,19 Marla,60978045
DHA Phase 2,6,7,12 Marla,44173578
DHA Phase 2,6,6,26 Marla,89075891
DHA Phase 2,4,6,13 Marla,46819190
G-13,4,6,8 Marla,23887094
Bahria Town,6,6,34 Marla,82855196
F-10,4,5,14 Marla,74542244
F-10,4,6,33 Marla,147280680
DHA Phase 2,9,10,40 Marla,144394951
Bahria Town,6,8,13 Marla,39149777
G-13,4,4,14 Marla,44467376
F-10,8,10,22 Marla,101175521
Bahria Town,3,5,12 Marla,32669509
F-10,8,9,37 Marla,164275489
F-10,7,9,22 Marla,120140009
DHA Phase 2,7,9,37 Marla,114989920
Bahria Town,6,8,10 Marla,28206476
F-10,5,6,28 Marla,137669835
G-13,6,6,7 Marla,26550029
Bahria Town,4,6,29 Marla,73423070
F-10,3,4,8 Marla,37550758
G-13,5,5,15 Marla,42575325
DHA Phase 2,4,6,12 Marla,39097847
Bahria Town,6,6,8 Marla,25955159
G-13,9,9,37 Marla,114449561
F-10,8,9,36 Marla,158199770
Bahria Town,5,7,21 Marla,50710493
G-13,4,6,9 Marla,30788202
G-13,2,3,5 Marla,16100770
G-13,4,6,25 Marla,70317239
G-13,6,6,32 Marla,97521872
F-10,7,8,16 Marla,85242771
DHA Phase 2,8,9,23 Marla,77627065
DHA Phase 2,5,6,28 Marla,87845759
F-10,2,4,6 Marla,31320262
F-10,4,6,5 Marla,26023230
G-13,9,10,25 Marla,70010696
G-13,2,4,5 Marla,14856075
G-13,5,6,15 Marla,44118954
F-10,4,6,40 Marla,183148376
Bahria Town,4,4,36 Marla,88940135
G-13,4,4,40 Marla,103248254
DHA Phase 2,3,4,7 Marla,23214485
F-10,5,6,38 Marla,190455085
F-10,9,10,18 Marla,101980375
Bahria Town,5,6,13 Marla,34749897
G-13,7,7,37 Marla,107717791
G-13,8,10,20 Marla,63708784
F-10,4,6,14 Marla,64759066
G-13,8,8,25 Marla,68824730
DHA Phase 2,3,5,11 Marla,36602681
DHA Phase 2,8,10,24 Marla,76320039
F-10,5,7,16 Marla,72658867
G-13,5,7,16 Marla,49828561
Bahria Town,6,6,14 Marla,36919349
F-10,8,10,34 Marla,179103414
DHA Phase 2,6,8,35 Marla,119132456
DHA Phase 2,5,7,15 Marla,55206591
F-10,6,6,36 Marla,154065831
F-10,3,5,13 Marla,59505241
F-10,7,9,28 Marla,139535467
G-13,6,7,29 Marla,75499619
G-13,4,4,21 Marla,63716572
G-13,7,9,37 Marla,109597726
F-10,7,7,21 Marla,98737344
G-13,6,6,13 Marla,43874813
F-10,5,6,15 Marla,79753684
DHA Phase 2,6,8,24 Marla,84076475
F-10,6,7,36 Marla,176705384
G-13,8,9,32 Marla,95415230
F-10,9,11,30 Marla,162337981
G-13,5,6,20 Marla,52975022
F-10,4,4,18 Marla,82480218
F-10,4,4,26 Marla,120580876
Bahria Town,4,5,8 Marla,24887928
Bahria Town,8,10,30 Marla,78656604
F-10,8,9,37 Marla,163588541
G-13,7,7,34 Marla,87288127
F-10,4,5,22 Marla,102705625
F-10,8,8,19 Marla,105924695
DHA Phase 2,7,7,39 Marla,125212903
Bahria Town,3,5,8 Marla,20322722
Bahria Town,4,4,27 Marla,59304042
Bahria Town,4,6,26 Marla,58602021
G-13,4,6,22 Marla,61922838
G-13,2,4,6 Marla,18970017
F-10,8,9,37 Marla,176929027
F-10,6,7,37 Marla,186505628
Bahria Town,8,9,35 Marla,97827700
